 41.0  41.9  45.9  51.2  55.3  56.2  53.5  47.6  40.5  34.7  32.0  33.1  37.3  42.8  47.1  48.2  45.7  40.0  33.1  27.5  25.0  26.3  30.7  36.4  40.9  42.2  39.9  34.4  27.7  22.3  20.0  21.5  26.1  32.0  36.7  38.2  36.1  30.8  24.3  19.1  17.0  18.7  23.5  29.6  34.5  36.2  34.3  29.2  22.9  17.9  16.0  17.9  22.9  29.2  34.3  36.2  34.5  29.6  23.5  18.7  17.0  19.1  24.3  30.8  36.1  38.2  36.7  32.0  26.1  21.5  20.0  22.3  27.7  34.4  39.9  42.2  40.9  36.4  30.7  26.3  25.0  27.5  33.1  40.0  45.7  48.2  47.1  42.8  37.3  33.1  32.0  34.7  40.5  47.6  53.5  56.2  55.3  51.2  45.9  41.9  41.0 
 42.1  43.0  47.1  52.3  56.4  57.4  54.6  48.7  41.7  35.8  33.1  34.2  38.5  43.9  48.2  49.4  46.8  41.1  34.3  28.6  26.1  27.4  31.9  37.5  42.0  43.4  41.0  35.5  28.9  23.4  21.1  22.6  27.3  33.1  37.8  39.4  37.2  31.9  25.5  20.2  18.1  19.8  24.7  30.7  35.6  37.4  35.4  30.3  24.1  19.0  17.1  19.0  24.1  30.3  35.4  37.4  35.6  30.7  24.7  19.8  18.1  20.2  25.5  31.9  37.2  39.4  37.8  33.1  27.3  22.6  21.1  23.4  28.9  35.5  41.0  43.4  42.0  37.5  31.9  27.4  26.1  28.6  34.3  41.1  46.8  49.4  48.2  43.9  38.5  34.2  33.1  35.8  41.7  48.7  54.6  57.4  56.4  52.3  47.1  43.0  42.1 
 46.3  47.3  51.3  56.5  60.6  61.6  58.8  52.9  45.9  40.1  37.3  38.5  42.7  48.1  52.4  53.6  51.0  45.3  38.5  32.9  30.3  31.7  36.1  41.7  46.2  47.6  45.2  39.7  33.1  27.7  25.3  26.9  31.5  37.3  42.0  43.6  41.4  36.1  29.7  24.5  22.3  24.1  28.9  34.9  39.8  41.6  39.6  34.5  28.3  23.3  21.3  23.3  28.3  34.5  39.6  41.6  39.8  34.9  28.9  24.1  22.3  24.5  29.7  36.1  41.4  43.6  42.0  37.3  31.5  26.9  25.3  27.7  33.1  39.7  45.2  47.6  46.2  41.7  36.1  31.7  30.3  32.9  38.5  45.3  51.0  53.6  52.4  48.1  42.7  38.5  37.3  40.1  45.9  52.9  58.8  61.6  60.6  56.5  51.3  47.3  46.3 
 51.8  52.7  56.7  62.0  66.0  67.0  64.2  58.4  51.3  45.5  42.8  43.9  48.1  53.6  57.8  59.0  56.4  50.8  43.9  38.3  35.8  37.1  41.5  47.2  51.6  53.0  50.6  45.2  38.5  33.1  30.8  32.3  36.9  42.8  47.4  49.0  46.8  41.6  35.1  29.9  27.8  29.5  34.3  40.4  45.2  47.0  45.0  40.0  33.7  28.7  26.8  28.7  33.7  40.0  45.0  47.0  45.2  40.4  34.3  29.5  27.8  29.9  35.1  41.6  46.8  49.0  47.4  42.8  36.9  32.3  30.8  33.1  38.5  45.2  50.6  53.0  51.6  47.2  41.5  37.1  35.8  38.3  43.9  50.8  56.4  59.0  57.8  53.6  48.1  43.9  42.8  45.5  51.3  58.4  64.2  67.0  66.0  62.0  56.7  52.7  51.8 
 56.1  57.0  61.0  66.2  70.3  71.3  68.5  62.6  55.6  49.8  47.1  48.2  52.4  57.8  62.1  63.3  60.7  55.0  48.2  42.6  40.1  41.4  45.8  51.4  55.9  57.3  54.9  49.4  42.8  37.4  35.1  36.6  41.2  47.0  51.7  53.3  51.1  45.8  39.4  34.2  32.1  33.8  38.6  44.6  49.5  51.3  49.3  44.2  38.0  33.0  31.1  33.0  38.0  44.2  49.3  51.3  49.5  44.6  38.6  33.8  32.1  34.2  39.4  45.8  51.1  53.3  51.7  47.0  41.2  36.6  35.1  37.4  42.8  49.4  54.9  57.3  55.9  51.4  45.8  41.4  40.1  42.6  48.2  55.0  60.7  63.3  62.1  57.8  52.4  48.2  47.1  49.8  55.6  62.6  68.5  71.3  70.3  66.2  61.0  57.0  56.1 
 57.2  58.2  62.2  67.4  71.5  72.5  69.7  63.8  56.8  51.0  48.2  49.4  53.6  59.0  63.3  64.5  61.9  56.2  49.4  43.8  41.2  42.6  47.0  52.6  57.1  58.5  56.1  50.6  44.0  38.6  36.2  37.8  42.4  48.2  52.9  54.5  52.3  47.0  40.6  35.4  33.2  35.0  39.8  45.8  50.7  52.5  50.5  45.4  39.2  34.2  32.2  34.2  39.2  45.4  50.5  52.5  50.7  45.8  39.8  35.0  33.2  35.4  40.6  47.0  52.3  54.5  52.9  48.2  42.4  37.8  36.2  38.6  44.0  50.6  56.1  58.5  57.1  52.6  47.0  42.6  41.2  43.8  49.4  56.2  61.9  64.5  63.3  59.0  53.6  49.4  48.2  51.0  56.8  63.8  69.7  72.5  71.5  67.4  62.2  58.2  57.2 
 54.7  55.6  59.6  64.8  68.9  69.9  67.1  61.2  54.2  48.4  45.7  46.8  51.0  56.4  60.7  61.9  59.3  53.6  46.8  41.2  38.7  40.0  44.4  50.0  54.5  55.9  53.5  48.0  41.4  36.0  33.7  35.2  39.8  45.6  50.3  51.9  49.7  44.4  38.0  32.8  30.7  32.4  37.2  43.2  48.1  49.9  47.9  42.8  36.6  31.6  29.7  31.6  36.6  42.8  47.9  49.9  48.1  43.2  37.2  32.4  30.7  32.8  38.0  44.4  49.7  51.9  50.3  45.6  39.8  35.2  33.7  36.0  41.4  48.0  53.5  55.9  54.5  50.0  44.4  40.0  38.7  41.2  46.8  53.6  59.3  61.9  60.7  56.4  51.0  46.8  45.7  48.4  54.2  61.2  67.1  69.9  68.9  64.8  59.6  55.6  54.7 
 49.0  49.9  53.9  59.2  63.2  64.2  61.4  55.6  48.5  42.7  40.0  41.1  45.3  50.8  55.0  56.2  53.6  48.0  41.1  35.5  33.0  34.3  38.7  44.4  48.8  50.2  47.8  42.4  35.7  30.3  28.0  29.5  34.1  40.0  44.6  46.2  44.0  38.8  32.3  27.1  25.0  26.7  31.5  37.6  42.4  44.2  42.2  37.2  30.9  25.9  24.0  25.9  30.9  37.2  42.2  44.2  42.4  37.6  31.5  26.7  25.0  27.1  32.3  38.8  44.0  46.2  44.6  40.0  34.1  29.5  28.0  30.3  35.7  42.4  47.8  50.2  48.8  44.4  38.7  34.3  33.0  35.5  41.1  48.0  53.6  56.2  55.0  50.8  45.3  41.1  40.0  42.7  48.5  55.6  61.4  64.2  63.2  59.2  53.9  49.9  49.0 
 42.1  43.1  47.1  52.3  56.4  57.4  54.6  48.7  41.7  35.9  33.1  34.3  38.5  43.9  48.2  49.4  46.8  41.1  34.3  28.7  26.1  27.5  31.9  37.5  42.0  43.4  41.0  35.5  28.9  23.5  21.1  22.7  27.3  33.1  37.8  39.4  37.2  31.9  25.5  20.3  18.1  19.9  24.7  30.7  35.6  37.4  35.4  30.3  24.1  19.1  17.1  19.1  24.1  30.3  35.4  37.4  35.6  30.7  24.7  19.9  18.1  20.3  25.5  31.9  37.2  39.4  37.8  33.1  27.3  22.7  21.1  23.5  28.9  35.5  41.0  43.4  42.0  37.5  31.9  27.5  26.1  28.7  34.3  41.1  46.8  49.4  48.2  43.9  38.5  34.3  33.1  35.9  41.7  48.7  54.6  57.4  56.4  52.3  47.1  43.1  42.1 
 36.5  37.4  41.5  46.7  50.8  51.8  49.0  43.1  36.1  30.2  27.5  28.6  32.9  38.3  42.6  43.8  41.2  35.5  28.7  23.0  20.5  21.8  26.3  31.9  36.4  37.8  35.4  29.9  23.3  17.8  15.5  17.0  21.7  27.5  32.2  33.8  31.6  26.3  19.9  14.6  12.5  14.2  19.1  25.1  30.0  31.8  29.8  24.7  18.5  13.4  11.5  13.4  18.5  24.7  29.8  31.8  30.0  25.1  19.1  14.2  12.5  14.6  19.9  26.3  31.6  33.8  32.2  27.5  21.7  17.0  15.5  17.8  23.3  29.9  35.4  37.8  36.4  31.9  26.3  21.8  20.5  23.0  28.7  35.5  41.2  43.8  42.6  38.3  32.9  28.6  27.5  30.2  36.1  43.1  49.0  51.8  50.8  46.7  41.5  37.4  36.5 
